webview,#genre#
四川卫视,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016553 
康巴卫视,webview://http://plusshare.kangbatv.com/?_hgOutLink=live/livedetail&channel_id=17
康巴卫视,webview://http://www.kangbatv.com/zb_22587/
康巴卫视,webview://https://tb.kangbatv.com/zb/
康巴卫视,webview://https://www.xuexi.cn/xxqg.html?id=2e1b591d66be474cbb11b23d425bff07
康巴卫视,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016561
四川经济频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016554
四川文化旅游频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016555
四川新闻频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1844567123037646849
四川影视文艺频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016557
四川星空购物频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016559
四川妇女儿童频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016558
四川科教频道,webview://http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
四川科教频道,webview://http://www.sctv-8.com.cn/_iframe/iframe_mp4.aspx?iid=637730502807234776&auto=1&said=636758887153726900
四川乡村频道,webview://https://scxc.sctv.com/html/c0111/2024/04/09/1777534112104497154_share.html?t=1715149181163
四川乡村频道,webview://https://kscgc.sctv.com/sctv/h5/v7/tvChannelShare.html?id=1016560
四川广播电视,webview://https://www.sctv.com/watchTV
四川天府一品频道,webview://http://livehkkp.chinamcache.com:80/live/tfyp-hkkp_2000.m3u8?txSecret=3d93b8d6cf483d1d34cc5f3a3adb709c&txTime=6857c656
四川AI要闻直播,webview://https://www.sctv.com/live/detail?id=1739565794560880642
四川每经AI电视,webview://https://swiftplay.hxkjmedia.com/tv/spbW.m3u8
四川每经AI电视,webview://http://swiftplay.hxkjmedia.com/tv/yytestW.m3u8
四川每经AI电视,webview://http://www.nbd.com.cn/corp/AiTv/index.html
成都新闻综合频道,webview://https://www.cditv.cn/show/4845-563.html
成都经济资讯频道,webview://https://www.cditv.cn/show/4845-562.html
成都都市生活频道,webview://https://www.cditv.cn/show/4845-561.html
成都影视文艺频道,webview://https://www.cditv.cn/show/4845-560.html
成都公共频道,webview://https://www.cditv.cn/show/4845-559.html
成都少儿频道,webview://https://www.cditv.cn/show/4845-558.html
成都蓉城先锋频道,webview://https://www.cditv.cn/show/4845-592.html
简阳综合频道,webview://https://www.cditv.cn/show/4844-578.html
简阳综合频道,webview://http://jyrmt.jianyangrongmei.com/html/j0185/2024/01/26/1750785258949513218_share.html
简阳综合频道,webview://http://rmt.jianyangrongmei.cn/html/j0185/2024/01/26/1750785258949513218_share.html
彭州综合频道,webview://https://www.cditv.cn/show/4844-576.html
彭州综合频道,webview://https://twlive.cditv.cn/Wap/Live/detail/id/8677.html?app_id=7
彭州广播电视,webview://https://twlive.cditv.cn/Wap/Live/lists/catid/Array.html?app_id=7
青白江综合频道,webview://https://www.cditv.cn/show/4844-584.html
青白江综合频道,webview://https://h5.iqbj.com.cn/link_detail?newsid=17776560_qbjrb
青白江综合频道,webview://https://candowx.cdmp.candocloud.cn/show/5941-612.html?&articleID=17776560
蒲江综合频道,webview://https://www.cditv.cn/show/4844-571.html
蒲江综合频道,webview://https://twlive.cditv.cn/Wap/Live/detail/id/4808.html?app_id=22
大邑综合频道,webview://https://www.cditv.cn/show/4844-572.html
金堂综合频道,webview://http://live.jtxwzx.com.cn/jtdst/playlist.m3u8
金堂综合频道,webview://https://www.cditv.cn/show/4844-573.html
