注意事项,#genre#
20251106162020仅供测试自用如有侵权请通知,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
香港,#genre#
翡翠台,http://2099.tv12.xyz/1_1762446006892.m3u8
翡翠台,http://2099.tv12.xyz/2_1762446006892.m3u8
iNews 新闻台,http://2099.tv12.xyz/3_1762446006892.m3u8
J 2,http://2099.tv12.xyz/4_1762446006892.m3u8
珍珠台,http://2099.tv12.xyz/5_1762446006892.m3u8
HOY资讯台,http://2099.tv12.xyz/6_1762446006892.m3u8
Viu6,http://2099.tv12.xyz/7_1762446006892.m3u8
VIUTV1,http://2099.tv12.xyz/8_1762446006892.m3u8
RHK 31,http://2099.tv12.xyz/9_1762446006892.m3u8
RHK 32,http://2099.tv12.xyz/10_1762446006892.m3u8
凤凰香港,http://2099.tv12.xyz/11_1762446006892.m3u8
凤凰卫视,http://2099.tv12.xyz/12_1762446006892.m3u8
凤凰资讯,http://2099.tv12.xyz/13_1762446006892.m3u8
中国,#genre#
CCTV-1 综合 HD,http://2099.tv12.xyz/14_1762446006892.m3u8
CCTV-2 财经,http://2099.tv12.xyz/15_1762446006892.m3u8
CCTV-3 综艺 HD,http://2099.tv12.xyz/16_1762446006892.m3u8
CCTV-4 中文国际,http://2099.tv12.xyz/17_1762446006892.m3u8
CCTV4 新闻台,http://2099.tv12.xyz/18_1762446006892.m3u8
CCTV-7 军事农业,http://2099.tv12.xyz/19_1762446006892.m3u8
CCTV-8 电视剧 HD,http://2099.tv12.xyz/20_1762446006892.m3u8
CCTV-9 记录 HD,http://2099.tv12.xyz/21_1762446006892.m3u8
CCTV-10 科教 HD,http://2099.tv12.xyz/22_1762446006892.m3u8
CCTV-11 戏曲,http://2099.tv12.xyz/23_1762446006892.m3u8
CCTV-12 社会与法,http://2099.tv12.xyz/24_1762446006892.m3u8
CCTV-13 新闻频道,http://2099.tv12.xyz/25_1762446006892.m3u8
CCTV-14 少儿,http://2099.tv12.xyz/26_1762446006892.m3u8
CCTV-6,http://2099.tv12.xyz/27_1762446006892.m3u8
CCTV-15 音乐,http://2099.tv12.xyz/28_1762446006892.m3u8
湖南卫视,http://2099.tv12.xyz/29_1762446006892.m3u8
浙江卫视,http://2099.tv12.xyz/30_1762446006892.m3u8
江苏卫视,http://2099.tv12.xyz/31_1762446006892.m3u8
深圳卫视,http://2099.tv12.xyz/32_1762446006892.m3u8
福建东南卫视,http://2099.tv12.xyz/33_1762446006892.m3u8
广东南方卫视,http://2099.tv12.xyz/34_1762446006892.m3u8
广东卫视,http://2099.tv12.xyz/35_1762446006892.m3u8
北京卫视,http://2099.tv12.xyz/36_1762446006892.m3u8
珠江台,http://2099.tv12.xyz/37_1762446006892.m3u8
广西卫视,http://2099.tv12.xyz/38_1762446006892.m3u8
